,oficial_mensual,promedio_diaria,cierre_diaria,dif_vs_promedio,dif_vs_cierre
2012-03-01,485.3954545,485.3954545454546,489.76,4.5454555674950825e-08,4.364545499999963
2012-04-01,486.001,486.00100000000003,483.41,5.684341886080802e-14,2.5909999999999513
2012-05-01,497.0880952,497.08809523809526,517.91,3.8095265608717455e-08,20.82190479999997
2012-06-01,505.6280952,505.6280952380953,509.73,3.8095265608717455e-08,4.1019048
2012-07-01,491.9345,491.9345,482.83,0.0,9.10450000000003
2012-08-01,480.9940909,480.99409090909097,481.17,9.090967978409026e-09,0.17590910000001259
2012-09-01,474.9717647,474.9717647058824,470.48,5.882384357391857e-09,4.491764699999976
2012-10-01,475.3627273,475.3627272727272,480.03,2.7272790248389356e-08,4.667272699999955
2012-11-01,480.5705,480.5705,479.42,0.0,1.1504999999999654
2012-12-01,477.1284211,477.1284210526316,478.6,4.736841674457537e-08,1.4715788999999972
2013-01-01,472.6686364,472.6686363636363,471.4,3.636370138337952e-08,1.268636400000048
2013-02-01,472.3445,472.3445,473.3,0.0,0.9555000000000291
2013-03-01,472.484,472.48400000000004,472.54,5.684341886080802e-14,0.05600000000004002
2013-04-01,472.1372727,472.1372727272728,471.54,2.7272790248389356e-08,0.5972726999999622
2013-05-01,479.5828571,479.5828571428571,492.8,4.28570956501062e-08,13.217142899999999
2013-06-01,502.886,502.88599999999997,503.86,5.684341886080802e-14,0.9739999999999895
2013-07-01,504.9622727,504.9622727272727,514.34,2.7272676561551634e-08,9.377727300000004
2013-08-01,512.5885714,512.5885714285714,511.65,2.8571434995683376e-08,0.9385714000000007
2013-09-01,504.57,504.57,502.97,0.0,1.599999999999966
2013-10-01,500.8063636,500.80636363636364,508.58,3.636364453996066e-08,7.773636399999987
2013-11-01,519.25,519.25,528.19,0.0,8.940000000000055
2013-12-01,529.4505,529.4505,523.76,0.0,5.690500000000043
2014-01-01,537.0295455,537.0295454545454,547.22,4.5454612518369686e-08,10.190454499999987
2014-02-01,554.4085,554.4085,563.32,0.0,8.911500000000046
2014-03-01,563.8433333,563.8433333333332,550.53,3.333320819365326e-08,13.313333300000068
2014-04-01,554.6409524,554.6409523809523,560.56,1.9047661226068158e-08,5.919047599999999
2014-05-01,555.402,555.402,548.04,0.0,7.36200000000008
2014-06-01,553.0633333,553.0633333333333,550.6,3.3333321880490985e-08,2.463333299999931
2014-07-01,558.2081818,558.2081818181819,570.51,1.818182226998033e-08,12.301818199999957
2014-08-01,579.052,579.052,593.28,0.0,14.227999999999952
2014-09-01,593.47,593.4680000000001,601.66,0.0019999999999527063,8.18999999999994
2014-10-01,589.98,589.98,576.65,0.0,13.330000000000041
2014-11-01,592.46,592.4595,598.94,0.0004999999999881766,6.480000000000018
2014-12-01,612.92,612.919,607.38,0.0009999999999763531,5.539999999999964
2015-01-01,620.91,620.9095238095239,626.48,0.00047619047609259724,5.57000000000005
2015-02-01,623.6175,623.6175000000001,617.67,1.1368683772161603e-13,5.947499999999991
2015-03-01,628.5,628.5031818181818,626.87,0.003181818181815288,1.6299999999999955
2015-04-01,614.73,614.7276190476191,606.82,0.0023809523809177335,7.909999999999968
2015-05-01,607.6,607.5968421052631,617.45,0.0031578947368871013,9.850000000000023
2015-06-01,629.99,629.9947619047618,634.58,0.004761904761835467,4.590000000000032
2015-07-01,650.14,650.1395454545454,672.19,0.00045454545454504114,22.050000000000068
2015-08-01,688.12,688.1157142857143,690.12,0.00428571428574287,2.0
2015-09-01,691.73,691.7290476190476,704.68,0.0009523809524125681,12.949999999999932
2015-10-01,685.31,685.3142857142857,690.34,0.00428571428574287,5.030000000000086
